word list generated with Sketch Engine
language:	Russian
corpus:	Russian Web 2011
word form	frequence
1	и	503894565	1
2	в	501242141	0,994736153
3	на	241230339	0,478731774
4	не	193398287	0,383807051
5	с	163279907	0,324035857
6	что	133977076	0,265883154
7	по	110130936	0,218559484
8	а	86463168	0,171589801
9	для	84651971	0,167995404
10	как	82761353	0,164243393
11	к	72364741	0,143610878
12	это	69622438	0,138168662
13	из	63534582	0,126087056
14	но	59809363	0,118694201
15	от	57243569	0,113602275
16	я	54559035	0,108274704
17	за	50033436	0,099293462
18	о	48882496	0,097009373
19	у	45584225	0,090463816
20	все	44756767	0,08882169
21	его	44686598	0,088682437
22	или	44499161	0,08831046
23	он	44179605	0,087676288
24	так	40375697	0,080127272
25	то	40110956	0,079601883
26	при	38739466	0,076880103
27	если	34900212	0,069260942
28	же	33142661	0,065773007
29	только	32093754	0,063691407
30	до	31945898	0,063397981
31	мы	31588445	0,0626886
32	их	29672948	0,058887216
33	вы	26599209	0,052787251
34	можно	25009893	0,049633187
35	они	24943429	0,049501286
36	было	24715997	0,049049938
37	уже	23711986	0,047057436
38	может	23089139	0,045821369
39	будет	22845642	0,045338139
40	время	22256603	0,044169167
41	бы	21939571	0,043540003
42	чтобы	21910285	0,043481884
43	есть	21473811	0,042615683
44	также	21348252	0,042366506
45	когда	20752213	0,041183641
46	ещё	20681903	0,041044108
47	очень	20432067	0,040548298
48	она	19991091	0,039673163
49	более	19550086	0,03879797
50	которые	19446354	0,038592109
51	года	19252553	0,038207503
52	был	18694094	0,037099217
53	быть	18583979	0,03688069
54	этом	18367077	0,036450238
55	её	18325649	0,036368023
56	после	18242899	0,036203802
57	во	17705321	0,035136956
58	того	17028623	0,03379402
59	том	16278437	0,032305244
60	этого	15726323	0,031209551
61	даже	15690622	0,031138701
62	со	15661636	0,031081177
63	чем	15269306	0,030302581
64	мне	15008800	0,029785596
65	меня	14410656	0,028598554
66	под	14191575	0,028163779
67	были	14066106	0,02791478
68	нет	13817067	0,027420552
69	вот	13776425	0,027339896
70	без	13484926	0,026761404
71	России	13348023	0,026489714
72	который	13322944	0,026439944
73	где	12797958	0,025398087
74	лет	12392855	0,024594143
75	всего	12367798	0,024544416
76	тем	12330006	0,024469417
77	себя	12314901	0,02443944
78	этот	12217560	0,024246263
79	была	12056268	0,023926172
80	всех	12030809	0,023875647
81	ни	12002754	0,023819971
82	ли	11885581	0,023587436
83	является	11822306	0,023461864
84	просто	11796055	0,023409768
85	году	11749975	0,023318321
86	нас	11661287	0,023142315
87	вам	11475863	0,022774334
88	раз	11352865	0,022530239
89	работы	11142701	0,02211316
90	них	11000956	0,021831861
91	об	10907971	0,021647328
92	да	10889571	0,021610813
93	через	10773627	0,021380717
94	один	10450384	0,020739227
95	ты	10387981	0,020615386
96	кто	10386728	0,020612899
97	области	10309580	0,020459796
98	больше	10130599	0,020104601
99	день	9814399	0,019477088
100	этой	9788213	0,019425121
101	жизни	9650036	0,019150903
102	там	9612126	0,019075669
103	вас	9558336	0,018968921
104	эти	9424568	0,018703452
105	человек	9406867	0,018668324
106	сейчас	9403521	0,018661684
107	могут	9389815	0,018634484
108	здесь	9329797	0,018515375
109	поэтому	9224041	0,018305498
110	однако	9094562	0,018048542
111	ему	9047343	0,017954833
112	нужно	8892415	0,017647372
113	именно	8857513	0,017578108
114	между	8851407	0,01756599
115	надо	8741681	0,017348234
116	несколько	8732502	0,017330018
117	компании	8557895	0,016983503
118	себе	8319279	0,01650996
119	случае	8254731	0,016381862
120	будут	8229262	0,016331317
121	им	8155767	0,016185463
122	которых	8030101	0,015936074
123	например	7919206	0,015715998
124	него	7824355	0,015527762
125	хотя	7815518	0,015510225
126	всегда	7773822	0,015427477
127	которая	7637745	0,015157427
128	теперь	7623371	0,015128901
129	нам	7580468	0,015043758
130	много	7568854	0,01502071
131	сегодня	7501648	0,014887337
132	своей	7434955	0,014754982
133	лишь	7397733	0,014681113
134	времени	7320624	0,014528087
135	такой	7290730	0,014468761
136	людей	7245737	0,01437947
137	других	7225046	0,014338408
138	тоже	7118429	0,014126822
139	пока	7109940	0,014109976
140	потому	7102648	0,014095504
141	человека	7084014	0,014058524
142	свою	6968067	0,013828423
143	ведь	6942911	0,013778499
144	кроме	6908646	0,013710499
145	два	6840467	0,013575195
146	перед	6826117	0,013546717
147	год	6786067	0,013467236
148	тогда	6759684	0,013414878
149	системы	6715699	0,013327588
150	свои	6655278	0,01320768
151	вопрос	6591006	0,013080129
152	конечно	6578741	0,013055789
153	потом	6546100	0,012991011
154	всем	6544812	0,012988455
155	необходимо	6501477	0,012902455
156	место	6492193	0,012884031
157	люди	6459476	0,012819102
158	ну	6418692	0,012738165
159	имеет	6286218	0,012475265
160	своих	6209803	0,012323616
161	этих	6159397	0,012223583
162	образом	6151282	0,012207478
163	должны	6098315	0,012102363
164	которой	6031927	0,011970613
165	города	5960445	0,011828754
166	ничего	5932302	0,011772903
167	возможность	5895608	0,011700083
168	лучше	5880875	0,011670844
169	эта	5743011	0,011397247
170	такие	5692285	0,011296579
171	хорошо	5692047	0,011296107
172	всё	5687348	0,011286782
173	тут	5678829	0,011269875
174	стоит	5645616	0,011203963
175	каждый	5624550	0,011162157
176	развития	5611397	0,011136054
177	РФ	5598591	0,01111064
178	таким	5577099	0,011067988
179	сделать	5516194	0,010947119
180	дело	5510248	0,010935319
181	часть	5507659	0,010930181
182	должен	5498680	0,010912362
183	деятельности	5490461	0,010896051
184	одной	5462361	0,010840286
185	жизнь	5432619	0,010781261
186	тех	5415813	0,010747909
187	над	5340223	0,010597898
188	другие	5338058	0,010593601
189	стороны	5298534	0,010515164
190	дома	5265519	0,010449644
191	рублей	5196821	0,01031331
192	своего	5193570	0,010306859
193	детей	5179580	0,010279095
194	тот	5162637	0,010245471
195	среди	5158953	0,01023816
196	собой	5153713	0,010227761
197	вообще	5144566	0,010209608
198	почти	5135699	0,010192011
199	многие	5120017	0,01016089
200	около	5096366	0,010113953
201	сам	5090621	0,010102552
202	связи	5079407	0,010080297
203	управления	5060795	0,010043361
204	свой	5003007	0,009928678
205	таких	4901533	0,009727299
206	вместе	4887987	0,009700416
207	организации	4854023	0,009633013
208	следует	4833057	0,009591405
209	три	4811131	0,009547892
210	этим	4806233	0,009538172
211	первый	4798916	0,009523651
212	достаточно	4798107	0,009522046
213	другой	4790053	0,009506062
214	сразу	4787524	0,009501043
215	которого	4721490	0,009369996
216	почему	4719014	0,009365082
217	сказал	4717689	0,009362453
218	менее	4711296	0,009349765
219	компания	4702772	0,009332849
220	количество	4701127	0,009329585
221	затем	4680374	0,009288399
222	либо	4665130	0,009258147
223	особенно	4639707	0,009207694
224	части	4630379	0,009189182
225	такое	4601490	0,009131851
226	чего	4597853	0,009124633
227	возможно	4592638	0,009114284
228	те	4576268	0,009081797
229	ней	4565678	0,00906078
230	часто	4528942	0,008987876
231	наиболее	4523133	0,008976348
232	внимание	4488999	0,008908608
233	ним	4484253	0,008899189
234	сказать	4476933	0,008884662
235	эту	4422856	0,008777344
236	двух	4376575	0,008685498
237	нашей	4345952	0,008624725
238	работу	4330657	0,008594371
239	одного	4305377	0,008544202
240	делать	4252804	0,008439869
241	стал	4224836	0,008384365
242	про	4195716	0,008326575
243	момент	4100396	0,008137409
244	средств	4090392	0,008117555
245	числе	4085440	0,008107728
246	помощью	4075446	0,008087894
247	тому	4069915	0,008076918
248	которое	4069515	0,008076124
249	ещё	4054222	0,008045774
250	российской	4044762	0,008027001
251	страны	4010208	0,007958427
252	совсем	4004029	0,007946164
253	из-за	3987006	0,007912381
254	одна	3964696	0,007868106
255	оно	3956473	0,007851787
256	своё	3955617	0,007850089
257	течение	3948807	0,007836574
258	деньги	3910054	0,007759667
259	стали	3907827	0,007755247
260	качестве	3905693	0,007751012
261	решение	3893104	0,007726029
262	ей	3891793	0,007723427
263	информации	3887801	0,007715505
264	дня	3884178	0,007708315
265	говорит	3869265	0,007678719
266	позволяет	3866351	0,007672937
267	программы	3852256	0,007644964
268	новый	3847128	0,007634788
269	против	3845651	0,007631856
270	система	3814158	0,007569357
271	мира	3811917	0,00756491
272	её	3796389	0,007534094
273	своим	3792428	0,007526233
274	поскольку	3781801	0,007505143
275	работа	3778019	0,007497638
276	второй	3775604	0,007492845
277	новые	3769422	0,007480577
278	работе	3765444	0,007472682
279	проблемы	3726431	0,007395259
280	что-то	3710514	0,007363671
281	практически	3694969	0,007332822
282	большой	3693455	0,007329817
283	власти	3693384	0,007329676
284	США	3681749	0,007306586
285	некоторые	3681212	0,00730552
286	участие	3679224	0,007301575
287	должна	3663094	0,007269564
288	являются	3641324	0,007226361
289	можете	3618860	0,00718178
290	период	3606810	0,007157866
291	территории	3600874	0,007146086
292	назад	3596174	0,007136759
293	тебя	3589721	0,007123953
294	вопросы	3551132	0,007047371
295	наши	3544647	0,007034501
296	быстро	3528051	0,007001566
297	действительно	3518315	0,006982244
298	полностью	3515835	0,006977323
299	никогда	3510091	0,006965924
300	воды	3502745	0,006951345
301	виде	3492064	0,006930148
302	новых	3457362	0,006861281
303	иногда	3447307	0,006841326
304	образования	3438395	0,00682364
305	мой	3426159	0,006799357
306	различных	3402769	0,006752938
307	слова	3394571	0,006736669
308	благодаря	3392797	0,006733149
309	данных	3379502	0,006706764
310	возможности	3371376	0,006690638
311	обычно	3370840	0,006689574
312	котором	3353695	0,006655549
313	дней	3347390	0,006643037
314	работ	3339616	0,006627609
315	такого	3333751	0,006615969
316	федерации	3326320	0,006601222
317	производства	3323937	0,006596493
318	места	3322962	0,006594558
